ISBN,Book-Title,Book-Author,Year-Of-Publication
3518395629,"""Emilia.""","""Angeles Mastretta""","""1999"""
037319093X,"""Bachelor Blues (Silhouette Romance No 1093)""","""Carolyn Zane""","""1995"""
0449230813,"""After the Storm""","""Williams""","""1976"""
0670817449,"""The Body in the Billiard Room (Inspector Ghote Mystery)""","""H. R. F. Keating""","""1987"""
0684807319,"""The Collected Works of W.B. Yeats Volume I: The Poems : Revised Second Edition""","""William Butler Yeats""","""1996"""
1884366007,"""I remember when (Uncle Bud series)""","""Gary D Trump""","""1993"""
0812519353,"""Pretty Babies""","""Julia Grice""","""1995"""
0446386391,"""Passion for Excellence""","""Nancy Austin""","""1989"""
0553211188,"""Cyrano de Bergerac""","""Edmond Rostand""","""1950"""
0671676768,"""The WOMEN'S ADVANTAGE DIET : THE WOMEN'S ADVANTAGE DIET""","""Henry Md. Mallek""","""1990"""
0871131749,"""Mount's Mistake""","""Lew McCreary""","""1987"""
0374444773,"""Like the Lion's Tooth (Aerial Fiction)""","""Marjorie Kellogg""","""1992"""
0765307936,"""sMothering""","""Wendy French""","""2003"""
0932813992,"""K2: Quest of the Gods""","""Ralph Ellis""","""2002"""
0130179817,"""Foundations of Finance: The Logic and Practice of Financial Management""","""Arthur J. Keown""","""2000"""
0743212193,"""On the Street Where You Live : A Novel""","""Mary Higgins Clark""","""2001"""
157566724X,"""Rubbed Out""","""Barbara Block""","""2003"""
0812550471,"""A Sorcerer and a Gentleman (Sorcerer &amp"," a Gentleman)""","""Elizabeth Willey"""
2890211452,"""Marcus LA Puce a L'Ecole (Novels in the Premier Roman Series)""","""Gilles Gauthier""","""1996"""
0446355933,"""By Love Enslaved""","""Phoebe Conn""","""1989"""
8120813871,"""The Advaita of Art""","""Harsha V. Dehejia""","""2000"""
0812548159,"""The Only Thing to Fear""","""David Poyer""","""1996"""
0801057787,"""Turning Points: Decisive Moments in the History of Christianity""","""Mark A. Noll""","""1997"""
0345250125,"""Well of the Unicorn""","""Fletcher Pratt""","""1976"""
8433905635,"""El Factor Fama""","""M. -Halevi G. Odina""","""1999"""
0394552377,"""Blessings in Disguise""","""Alec Guinness""","""1986"""
0689821263,"""Tommy Catches A Cold (Rugrats)""","""Sarah Willson""","""1998"""
0822008653,"""Mythology (Cliffs Notes)""","""James  Weigel""","""1973"""
1560987006,"""Discovering Dinosaurs in the Old West: The Field Journals of Arthur Lakes""","""Michael F. Kohl""","""1997"""
0671011693,"""Battlestar Galactica: Armageddon""","""Richard Hatch""","""1997"""
0253359406,"""Memory and American History""","""David Thelan""","""1990"""
0394409035,"""The cold room""","""Jeffrey Caine""","""1977"""
0782124615,"""Dictionary of Networking""","""Peter Dyson""","""1999"""
0671664581,"""Go Ask Alice""","""Anonymous""","""1971"""
0684810603,"""ANGEL IN THE WHIRLWIND""","""Benson Bobrick""","""1997"""
1884834671,"""More Than Painting: Exploring the Wonders of Art in Preschool and Kindergarten""","""Sally Moomaw""","""1999"""
0553572326,"""Survival of the Fittest: An Alex Delaware Novel""","""Jonathan Kellerman""","""1998"""
0486205460,"""The Tale of Mrs. Tiggy-Winkle""","""Beatrix Potter""","""1973"""
8479270810,"""El Gran Libro del Tarot""","""Emilio Salas""","""1996"""
0375700382,"""The Fight: Norman Mailer""","""Norman Mailer""","""1997"""
0831778415,"""Needful Things""","""Stephen King""","""1993"""
030710415X,"""The Story of the Easter Bunny""","""Sheila Black""","""1990"""
0689820402,"""Most Wanted""","""Jordan Cray""","""1998"""
0195077040,"""Imaginary Companions and the Children Who Create Them""","""Marjorie Taylor""","""1999"""
3406071198,"""Anna Seghers (AutorenbÃ¼cher "," 9)""","""Klaus Sauer"""
0590457861,"""Summer Nights""","""Caroline B. Cooney""","""1992"""
2290048763,"""Mademoiselle Chambon""","""Ã?Â?ric Holder""","""1998"""
051788500X,"""Compassion in Action : Setting Out on the Path of Service""","""RAM DASS""","""1995"""
0312039506,"""Weapons: An International Encyclopedia from 5000 B.C. to 2000 A.D.""","""Diagram Group""","""1991"""
0394745523,"""The night lords""","""Nicolas Freeling""","""1980"""
0006751687,"""Shadow of Mordican (Llandor Trilogy)""","""Louise Lawrence""","""1997"""
0399523200,"""The Complete Guide to Natural Healing""","""Tom Monte""","""1997"""
0307477010,"""Silly Stories (Sesame Street)""","""Sarah Albee""","""1998"""
1854793489,"""Dot on Men""","""Daphne David""","""1998"""
0726137383,"""The UBD street directory of Victoria cities &amp"," towns""","""Universal Business Directories Pty. Ltd"""
043909013X,"""Kerosene""","""Chris Wooding""","""2002"""
1585360511,"""M is for Maple""","""Michael Ulmer""","""2001"""
0425186318,"""What You Owe Me""","""Bebe Moore Campbell""","""2002"""
0553140744,"""Proteus""","""Morris West""","""1981"""
014013168X,"""The Buddha of Suburbia""","""Hanif Kureishi""","""1991"""
0684833751,"""Tumble Home : A Novella and Short Stories""","""Amy Hempel""","""1997"""
0451169484,"""Complete Handbook of Pro Basketball""","""Zander Hollander""","""1990"""
086622467X,"""A Step-By-Step Book About Gerbils""","""Patrick Bradley""","""1987"""
0757300553,"""Gossip: Ten Pathways to Eliminate It from Your Life and Transform Your Soul""","""Lori Palatnik""","""2002"""
0688085873,"""A Short History of World War II""","""James L. Stokesbury""","""1980"""
0440208491,"""Balancing Acts: Contemporary Stories""","""Helena Goscilo""","""1991"""
1577487923,"""Lessons of the Heart: Four Novellas in Which Modern Teachers Learn About Love""","""Linda Goodnight""","""2000"""
059033672X,"""Day Jimmy's Boa Ate the Wash""","""Trinka Hakes Noble""","""1980"""
0812530055,"""A College of Magics""","""Caroline Stevermer""","""1995"""
0930044347,"""Odd Girl Out (Volute Book)""","""Ann Bannon""","""1983"""
0843927445,"""Renegade Heart""","""Madeline Baker""","""1989"""
0671534017,"""100 TOP PSYCHICS IN AMERICA: THEIR STORIES SPECIALTIES &amp"," HOW TO CONTACT THEM""","""Paulette Cooper"""
0671698281,"""DYDEETOWN WORLD""","""Jim Wilson""","""1989"""
157954312X,"""The Secret Lives of Dogs: The Real Reasons Behind 52 Mysterious Canine Behaviors""","""Jana Murphy""","""2000"""
0425051552,"""Laughter/Best Medicin""","""Readers Digest""","""1981"""
